Observación,Sexo,Edad,Educación,Ingresos,Cuenta Nomina,Tipo de Ingreso,Tarjeta de Credito,Frecuencia de Uso,Dicsiplina Financiera,Actitud,Ahorro
1527,2,49,1,48000,1,1,2,4,1,3,1
236,2,49,1,50000,1,1,1,2,1,3,1
965,2,50,1,6000,1,2,2,2,1,3,1
1262,1,50,1,6000,2,2,1,1,1,3,2
390,2,50,1,7200,1,1,1,2,1,3,1
1963,2,50,1,7200,2,2,2,1,1,3,2
38,1,50,1,8000,2,2,2,1,1,3,1
1285,1,50,1,24000,1,1,2,2,1,3,1
1813,1,51,1,8000,1,2,1,4,1,3,2
387,1,51,1,19200,1,1,1,6,1,3,1
147,1,51,1,40000,1,2,1,6,1,3,1
226,1,51,1,48000,1,1,1,4,1,3,1
553,1,52,1,20000,1,1,1,3,1,3,2
192,1,52,1,24000,1,1,1,2,1,3,2
1065,2,52,1,26000,1,1,1,4,1,3,1
1212,2,52,1,40000,1,2,1,1,1,3,1
1327,2,53,1,48000,2,2,1,1,1,3,2
273,1,53,1,64000,1,2,1,6,1,3,1
2075,1,54,1,12000,2,2,1,6,1,3,1
1669,1,54,1,14000,1,2,2,1,1,3,1
816,2,55,1,9600,1,2,1,2,1,3,1
160,2,55,1,19600,2,2,2,1,1,3,1
527,1,55,1,28000,1,1,1,1,1,3,2
1338,1,57,1,11400,1,2,1,4,1,3,1
1186,1,57,1,52000,1,1,1,1,1,3,2
1199,1,58,1,6000,2,1,2,4,1,3,1
568,1,58,1,12000,1,2,1,4,1,3,2
889,1,58,1,20000,2,1,1,3,1,3,1
1901,1,58,1,60000,1,2,2,6,1,3,1
2056,1,60,1,64000,1,2,2,1,1,3,1
2031,2,61,1,8000,1,1,1,6,1,3,1
105,1,61,1,11600,1,2,1,4,1,3,2
1354,1,63,1,6000,2,2,2,3,1,3,1
753,1,63,1,20000,2,2,1,6,1,3,2
772,2,64,1,7200,1,2,1,2,1,3,2
2027,1,64,1,10000,1,1,1,4,1,3,1
2013,1,64,1,27200,1,1,1,8,1,3,2
2066,2,64,1,48000,2,2,2,8,1,3,1
276,1,65,1,8000,1,2,2,1,1,3,1
1366,2,65,1,52000,1,1,1,4,1,3,2
874,1,66,1,5200,2,2,1,4,1,3,1
718,1,66,1,8000,2,1,1,4,1,3,1
258,1,66,1,40000,1,1,1,8,1,3,2
1037,1,68,1,40000,2,2,1,8,1,3,2
1875,1,69,1,18000,1,1,1,1,1,3,1
358,1,69,1,23000,1,2,1,4,1,3,1
1935,1,70,1,7200,1,2,1,4,1,3,1
848,1,70,1,10400,2,2,1,1,1,3,2
702,2,71,1,6000,2,2,2,6,1,3,1
426,2,71,1,24000,1,2,1,1,1,3,1
1192,1,72,1,5000,2,2,1,1,1,3,1
473,1,73,1,11000,1,1,1,8,1,3,2
621,1,74,1,10000,1,2,1,8,1,3,2
675,1,74,1,15000,1,1,1,2,1,3,1
738,1,76,1,6400,1,2,1,1,1,3,1
976,1,77,1,8800,1,1,2,1,1,3,2
652,1,77,1,9200,1,2,1,1,1,3,1
289,2,79,1,12800,1,2,1,8,1,3,1
1692,2,80,1,12000,1,2,1,6,1,3,1
1304,2,21,2,4600,2,1,1,2,1,3,1
