Observación,Sexo,Edad,Educación,Ingresos,Cuenta Nomina,Tipo de Ingreso,Tarjeta de Credito,Frecuencia de Uso,Dicsiplina Financiera,Actitud,Ahorro
1341,1,47,1,32000,1,2,1,6,1,2,1
149,1,48,1,10000,2,2,1,1,1,2,1
1088,1,48,1,12000,1,1,2,1,1,2,1
1577,1,48,1,12000,1,2,2,4,1,2,2
1948,2,48,1,32000,1,1,1,1,1,2,2
1115,2,49,1,6000,2,1,1,1,1,2,1
1063,2,49,1,7200,1,2,2,6,1,2,2
216,1,49,1,10000,1,1,1,1,1,2,1
668,1,49,1,14000,1,2,1,6,1,2,1
1445,1,49,1,14400,2,1,2,2,1,2,1
1221,2,49,1,20000,1,2,1,2,1,2,1
1899,1,49,1,28000,1,2,1,1,1,2,1
1556,1,49,1,36000,1,2,1,1,1,2,1
1229,2,50,1,4800,2,2,1,4,1,2,2
1495,1,50,1,5900,1,2,1,5,1,2,1
1654,2,50,1,6000,1,2,2,4,1,2,2
199,1,50,1,6500,1,2,1,1,1,2,2
2019,1,50,1,10000,2,2,1,6,1,2,1
954,2,50,1,12000,2,2,1,2,1,2,1
1163,1,51,1,5000,2,1,1,4,1,2,1
462,1,51,1,8000,2,1,1,1,1,2,2
1632,2,51,1,12000,1,2,1,6,1,2,2
1386,1,52,1,4800,2,1,1,1,1,2,1
612,1,52,1,6000,2,1,1,6,1,2,1
282,2,52,1,6800,2,2,1,4,1,2,1
846,2,52,1,8000,2,2,2,4,1,2,1
1015,2,52,1,8000,1,2,1,4,1,2,1
152,2,52,1,10000,1,2,2,1,1,2,2
354,1,52,1,10000,2,2,1,3,1,2,1
453,1,52,1,14000,2,1,1,6,1,2,1
679,2,52,1,14000,1,1,1,2,1,2,1
756,1,52,1,16000,2,2,2,6,1,2,1
272,1,52,1,25000,1,2,1,1,1,2,1
1083,1,52,1,28000,1,2,1,1,1,2,1
1784,1,52,1,28000,1,1,2,1,1,2,2
1264,2,52,1,42000,1,1,1,1,1,2,1
910,2,53,1,10000,1,2,2,4,1,2,2
969,1,53,1,10000,1,1,1,4,1,2,2
2077,1,53,1,12000,1,2,2,1,1,2,1
1797,1,53,1,23000,1,2,1,6,1,2,1
628,1,53,1,48000,1,1,1,5,1,2,1
989,1,54,1,8400,1,1,1,4,1,2,1
2028,2,54,1,10000,1,1,1,1,1,2,2
1664,2,54,1,14000,1,1,1,4,1,2,1
2081,1,54,1,16000,2,1,1,2,1,2,1
1693,2,54,1,48000,2,2,1,1,1,2,1
1072,1,55,1,6000,2,2,1,4,1,2,2
478,1,55,1,7200,1,2,1,4,1,2,1
131,1,55,1,11000,1,1,1,1,1,2,2
1942,1,55,1,12000,1,1,2,2,1,2,1
1839,2,55,1,13500,1,2,1,4,1,2,1
521,2,55,1,16000,2,2,1,4,1,2,1
1451,2,55,1,60000,1,1,1,6,1,2,2
1728,2,55,1,60000,1,1,1,1,1,2,1
1547,1,56,1,34800,1,2,1,2,1,2,1
1352,1,56,1,40000,1,1,1,1,1,2,1
918,1,57,1,10000,1,1,1,1,1,2,1
1210,1,57,1,15000,1,2,1,2,1,2,1
1651,1,57,1,17000,1,2,2,1,1,2,2
1247,2,57,1,20000,1,2,1,4,1,2,1
443,2,57,1,40000,1,2,1,4,1,2,1
1146,1,58,1,5000,1,1,1,3,1,2,2
442,2,58,1,6000,2,1,1,8,1,2,2
2023,1,58,1,6000,1,1,1,1,1,2,1
1882,1,58,1,12000,1,1,1,1,1,2,1
1945,1,58,1,40000,1,2,1,4,1,2,2
833,2,58,1,52000,1,1,1,1,1,2,2
803,2,58,1,64000,1,1,2,4,1,2,1
798,2,59,1,12000,1,2,1,4,1,2,2
1110,2,59,1,12000,1,1,1,8,1,2,2
1019,1,59,1,22000,1,2,1,4,1,2,1
438,1,59,1,30000,1,2,1,2,1,2,2
311,1,59,1,40000,1,2,1,1,1,2,1
1492,1,60,1,10720,1,2,1,2,1,2,1
1430,1,60,1,20000,2,1,1,6,1,2,2
2064,1,60,1,24800,2,2,1,1,1,2,1
875,1,60,1,30000,1,1,1,6,1,2,2
1844,1,61,1,8400,1,1,2,2,1,2,2
1398,2,61,1,10000,1,1,1,6,1,2,1
1838,1,61,1,14000,2,2,1,4,1,2,2
1268,1,61,1,22400,1,2,1,3,1,2,1
1950,1,62,1,7000,1,2,2,3,1,2,1
1695,2,62,1,12000,2,2,1,6,1,2,2
1323,2,62,1,13000,1,1,2,2,1,2,2
1524,1,62,1,24000,1,1,1,1,1,2,2
1871,1,62,1,32000,1,2,1,4,1,2,1
323,1,63,1,9000,1,2,1,6,1,2,1
1267,1,63,1,18000,2,1,2,1,1,2,1
1139,1,63,1,44000,1,1,1,4,1,2,2
567,1,64,1,5600,2,1,1,3,1,2,1
1282,1,64,1,6800,1,2,2,4,1,2,2
1970,1,64,1,8000,1,1,1,1,1,2,1
633,1,64,1,10000,2,2,2,7,1,2,2
1042,2,64,1,11600,1,1,1,4,1,2,2
1763,2,64,1,15000,2,1,1,8,1,2,1
1709,1,64,1,24000,1,1,1,5,1,2,1
936,1,64,1,48000,1,2,1,1,1,2,2
1885,1,65,1,8272,1,2,1,1,1,2,2
1215,1,65,1,60000,1,1,1,6,1,2,2
973,2,66,1,4800,2,2,1,1,1,2,2
2047,2,66,1,5000,1,1,1,6,1,2,2
1371,1,66,1,10000,1,1,1,1,1,2,1
1390,1,67,1,12000,1,1,1,1,1,2,2
1582,1,67,1,15000,1,2,1,6,1,2,2
1014,1,68,1,40000,1,1,1,6,1,2,1
1618,1,68,1,52000,1,1,1,4,1,2,2
1971,2,69,1,7200,1,2,1,4,1,2,2
1631,1,70,1,20000,1,1,1,6,1,2,2
1691,1,70,1,28000,1,2,1,6,1,2,2
284,1,70,1,60000,2,1,1,6,1,2,1
1914,2,70,1,60000,1,1,1,1,1,2,1
306,1,71,1,16000,2,1,1,6,1,2,1
1540,1,71,1,19200,1,1,2,6,1,2,1
1819,2,71,1,30000,1,2,1,1,1,2,2
755,2,72,1,7500,1,2,2,1,1,2,2
1364,1,72,1,8000,1,1,1,3,1,2,1
653,1,72,1,8400,1,2,2,4,1,2,2
1729,1,72,1,8800,1,2,1,6,1,2,1
1623,1,72,1,12000,1,2,2,4,1,2,1
962,1,72,1,24000,1,2,1,1,1,2,2
1959,2,72,1,48000,1,1,1,4,1,2,1
1056,1,73,1,8000,1,2,1,1,1,2,2
1123,2,73,1,14000,2,1,2,8,1,2,1
231,1,73,1,16000,1,2,1,2,1,2,1
197,1,73,1,24000,2,2,1,5,1,2,1
1089,2,73,1,24000,1,1,2,1,1,2,2
1200,1,73,1,40000,1,2,1,8,1,2,1
1765,1,74,1,15000,1,1,1,4,1,2,1
1807,2,74,1,16000,1,1,1,1,1,2,2
948,1,75,1,5000,1,1,1,4,1,2,2
1070,1,75,1,8000,2,1,1,6,1,2,2
1601,2,75,1,8000,2,1,1,6,1,2,2
1788,2,75,1,44000,1,2,1,2,1,2,2
1108,1,76,1,6000,2,1,1,6,1,2,1
1722,2,76,1,20000,1,1,1,4,1,2,2
2032,1,77,1,12000,1,2,2,2,1,2,2
703,2,77,1,30000,2,2,1,4,1,2,1
1868,1,78,1,9000,1,2,1,4,1,2,1
1674,2,78,1,10000,1,2,2,4,1,2,1
1006,1,79,1,6000,1,2,1,8,1,2,2
858,2,80,1,5600,1,1,2,4,1,2,1
1253,1,80,1,7200,2,1,1,3,1,2,2
911,2,80,1,30000,1,1,1,6,1,2,2
1490,2,83,1,8000,2,2,1,6,1,2,2
2014,2,85,1,20000,1,1,1,7,1,2,2
1555,1,88,1,8000,2,2,2,1,1,2,2
1225,1,20,2,5000,2,1,1,6,1,2,2
1158,1,20,2,14000,1,2,1,8,1,2,1
873,1,23,2,6000,1,1,1,6,1,2,2
1052,2,24,2,12000,2,1,2,1,1,2,2
1628,1,24,2,50000,1,2,1,6,1,2,1
1246,1,26,2,7200,2,1,2,4,1,2,1
1311,2,26,2,24000,1,1,1,1,1,2,1
893,2,27,2,13000,2,1,1,3,1,2,2
1297,2,28,2,16000,2,1,1,2,1,2,2
1610,1,28,2,26000,1,1,2,4,1,2,1
1315,1,29,2,7200,1,2,1,4,1,2,2
1018,1,29,2,10000,1,1,1,1,1,2,2
1298,1,29,2,14000,1,1,1,2,1,2,2
1781,1,30,2,5000,1,1,2,1,1,2,1
773,2,30,2,8000,1,2,1,1,1,2,2
837,1,31,2,8000,2,1,1,3,1,2,1
300,1,31,2,10000,2,1,2,3,1,2,1
1283,1,31,2,26000,1,2,1,1,1,2,1
1129,1,32,2,6000,2,2,1,4,1,2,1
1778,2,32,2,10000,2,1,1,4,1,2,1
793,1,32,2,16000,1,1,1,6,1,2,1
548,2,33,2,7000,1,1,1,6,1,2,2
1548,2,33,2,8000,2,1,1,6,1,2,1
298,2,33,2,16000,1,2,2,3,1,2,1
1168,1,35,2,14000,2,1,1,1,1,2,1
2055,1,36,2,6000,2,1,1,2,1,2,1
1985,1,36,2,10000,1,2,1,8,1,2,2
1706,1,36,2,18000,2,1,2,2,1,2,1
1583,1,36,2,48000,1,2,1,6,1,2,2
1663,1,37,2,7000,1,2,1,2,1,2,2
1738,2,37,2,12000,1,2,1,1,1,2,1
5,2,37,2,14400,2,2,2,8,1,2,2
344,1,37,2,48000,1,2,1,8,1,2,1
1266,1,38,2,6800,1,2,1,4,1,2,1
360,1,39,2,40000,2,1,2,8,1,2,1
1770,1,40,2,6400,1,1,2,8,1,2,2
1717,1,41,2,6000,1,1,1,8,1,2,1
673,2,41,2,9200,1,1,2,4,1,2,1
316,2,42,2,34000,1,1,1,1,1,2,2
928,1,42,2,34000,2,2,1,1,1,2,2
781,1,43,2,15000,2,1,1,4,1,2,1
980,1,43,2,15600,1,1,1,4,1,2,2
1188,1,43,2,24000,1,2,1,4,1,2,2
210,1,43,2,48000,2,1,1,1,1,2,1
458,1,44,2,12000,2,2,2,1,1,2,1
838,1,44,2,12000,1,1,1,3,1,2,2
2061,2,44,2,14000,1,1,1,6,1,2,1
1128,1,44,2,33600,1,2,1,1,1,2,2
551,1,45,2,8000,1,1,1,8,1,2,1
1173,1,45,2,10000,2,2,1,6,1,2,2
779,2,45,2,29200,1,2,1,4,1,2,2
650,1,45,2,34000,2,2,1,1,1,2,1
1992,1,46,2,6000,2,1,1,4,1,2,1
1263,2,46,2,40000,1,2,1,4,1,2,1
317,2,47,2,8000,2,1,1,6,1,2,2
1394,1,47,2,12000,2,2,2,4,1,2,1
1848,1,47,2,12000,1,1,1,6,1,2,1
1388,1,47,2,24000,1,1,1,1,1,2,1
1619,2,47,2,24000,2,1,1,4,1,2,1
1707,1,48,2,15200,1,1,1,2,1,2,1
700,2,49,2,12000,2,2,1,2,1,2,1
1939,1,50,2,7200,2,1,1,6,1,2,1
1270,2,50,2,10000,1,1,1,4,1,2,2
1791,1,50,2,24000,1,1,1,4,1,2,1
281,1,50,2,28000,1,2,1,6,1,2,1
1716,1,52,2,5200,1,2,2,8,1,2,1
1896,2,52,2,10000,2,1,1,1,1,2,1
1203,1,52,2,28000,2,2,1,1,1,2,1
254,1,54,2,15200,1,2,1,8,1,2,1
61,1,54,2,60000,1,2,1,1,1,2,1
498,2,56,2,5000,1,1,1,4,1,2,1
125,1,56,2,8000,2,1,1,4,1,2,2
1134,1,56,2,14000,1,2,1,4,1,2,2
1543,2,56,2,24000,1,1,1,4,1,2,1
1746,2,57,2,30000,2,1,1,4,1,2,1
926,2,58,2,7600,1,2,2,1,1,2,1
356,1,58,2,45000,1,2,1,4,1,2,1
168,1,59,2,6000,2,2,1,1,1,2,2
996,1,59,2,6000,2,1,1,1,1,2,2
1796,1,59,2,6800,1,2,2,2,1,2,1
1182,1,60,2,16000,1,2,1,6,1,2,2
1794,2,60,2,28000,1,1,1,2,1,2,2
907,2,61,2,48000,2,2,2,1,1,2,1
534,1,61,2,56000,1,1,1,8,1,2,1
970,2,63,2,6800,1,2,1,1,1,2,1
1011,2,64,2,7000,1,1,2,3,1,2,2
1862,2,64,2,7000,1,1,1,1,1,2,1
127,2,64,2,7200,1,1,2,2,1,2,1
1048,1,64,2,48000,1,2,1,6,1,2,1
1660,2,65,2,8400,1,1,2,4,1,2,1
1153,1,65,2,32000,2,1,1,4,1,2,1
641,1,65,2,40000,1,2,2,1,1,2,1
514,2,67,2,8000,1,1,1,4,1,2,2
524,2,67,2,12000,2,2,1,8,1,2,1
1607,1,69,2,60000,1,1,1,4,1,2,2
155,1,71,2,4800,1,2,1,6,1,2,2
614,1,71,2,10000,2,1,1,4,1,2,2
2073,2,71,2,30000,1,1,2,1,1,2,1
916,2,72,2,8000,2,1,1,6,1,2,2
2051,1,73,2,8400,1,1,1,2,1,2,1
503,2,74,2,24000,1,2,1,8,1,2,2
591,1,74,2,48000,2,1,1,4,1,2,1
955,1,75,2,52000,1,2,1,1,1,2,2
1926,1,76,2,13600,1,1,1,8,1,2,2
1058,2,81,2,10000,1,1,1,6,1,2,1
466,2,82,2,15000,1,1,1,5,1,2,1
885,1,24,3,20000,2,1,2,6,1,2,2
1205,2,24,3,60000,1,2,2,1,1,2,1
1222,1,26,3,12000,1,2,1,3,1,2,1
188,1,27,3,4800,2,2,1,8,1,2,2
1204,2,27,3,20000,2,2,1,4,1,2,2
1872,2,28,3,6000,2,2,1,1,1,2,2
617,1,28,3,13200,1,2,1,4,1,2,2
1239,1,28,3,56000,1,2,1,1,1,2,2
895,2,29,3,8000,1,2,1,2,1,2,2
1637,1,29,3,28000,1,1,1,1,1,2,2
427,2,30,3,12000,1,1,1,2,1,2,2
854,2,30,3,40000,1,2,1,4,1,2,2
1910,2,30,3,45000,1,2,1,6,1,2,1
710,1,31,3,16000,1,2,1,1,1,2,1
1295,2,31,3,20000,1,2,1,4,1,2,1
184,1,31,3,24000,2,2,1,4,1,2,2
1084,2,31,3,42000,1,1,1,5,1,2,2
1478,2,32,3,10000,2,2,1,1,1,2,1
133,2,33,3,14000,1,1,1,4,1,2,1
268,1,33,3,36000,2,1,1,1,1,2,2
764,2,33,3,48000,2,2,1,8,1,2,1
1143,2,34,3,8000,1,1,2,4,1,2,1
819,2,35,3,6000,1,1,1,4,1,2,2
1224,2,36,3,12000,2,1,1,1,1,2,2
939,1,36,3,40000,2,2,1,1,1,2,2
872,2,37,3,5000,2,1,1,1,1,2,1
1471,1,37,3,10000,1,1,1,4,1,2,1
371,1,37,3,14000,1,1,1,1,1,2,2
1413,1,37,3,14400,1,2,1,1,1,2,1
450,1,38,3,8000,1,2,1,6,1,2,1
1,1,38,3,14000,1,1,2,4,1,2,2
891,1,39,3,4800,1,1,2,1,1,2,1
1425,2,39,3,8000,1,2,1,4,1,2,2
985,1,39,3,10000,1,1,1,4,1,2,1
1701,1,39,3,14000,1,2,1,5,1,2,2
736,2,39,3,24000,2,2,1,4,1,2,1
382,1,40,3,8000,2,2,1,2,1,2,1
1086,2,40,3,15000,1,2,2,1,1,2,2
381,1,41,3,4800,2,1,1,6,1,2,1
1905,2,42,3,6000,1,1,2,1,1,2,1
762,1,42,3,8000,2,2,1,2,1,2,1
1416,2,42,3,18400,1,2,1,2,1,2,2
886,2,42,3,20000,2,2,2,1,1,2,1
1421,2,42,3,30000,2,2,1,2,1,2,2
594,2,43,3,8000,2,1,1,4,1,2,1
740,2,43,3,8840,1,2,1,1,1,2,2
1271,1,43,3,15000,1,1,2,4,1,2,2
1370,1,43,3,20000,1,1,1,1,1,2,1
557,1,43,3,25600,2,1,1,6,1,2,1
863,1,43,3,32000,1,2,1,4,1,2,2
956,2,44,3,44000,1,2,1,1,1,2,1
1539,2,45,3,5000,1,2,2,4,1,2,1
195,2,45,3,7400,1,2,1,6,1,2,1
352,1,47,3,12000,1,2,1,3,1,2,2
607,2,47,3,13000,2,2,1,1,1,2,1
1777,1,47,3,20000,1,2,1,3,1,2,1
96,1,48,3,12800,1,2,1,6,1,2,2
378,1,49,3,8000,2,2,2,1,1,2,1
1336,2,49,3,13200,2,1,1,3,1,2,2
2054,1,49,3,20000,1,2,1,1,1,2,2
144,1,49,3,24000,1,2,2,2,1,2,1
305,2,50,3,11200,1,1,1,4,1,2,2
44,2,50,3,64000,1,2,1,4,1,2,1
990,2,51,3,32000,1,2,1,6,1,2,1
795,1,52,3,5600,1,1,1,2,1,2,1
1804,1,52,3,9600,2,1,2,4,1,2,2
1670,1,52,3,12000,1,2,1,4,1,2,1
1799,1,52,3,14000,1,1,1,1,1,2,2
1036,1,53,3,10000,1,2,2,1,1,2,1
2052,1,53,3,10000,1,2,1,5,1,2,2
1396,1,54,3,8000,1,1,1,4,1,2,1
1772,1,55,3,24000,1,2,1,4,1,2,1
958,1,55,3,28000,2,1,1,4,1,2,1
971,1,56,3,22800,1,2,1,2,1,2,1
1464,1,56,3,40000,1,1,1,4,1,2,2
554,1,58,3,6000,2,2,1,1,1,2,1
1159,1,59,3,32000,1,2,1,2,1,2,2
1892,1,60,3,8000,2,2,1,6,1,2,2
1911,2,60,3,8800,1,2,1,1,1,2,2
265,2,61,3,28000,1,2,2,4,1,2,1
233,1,64,3,10000,1,1,1,1,1,2,2
1820,1,69,3,8000,2,2,1,4,1,2,2
1407,1,69,3,9600,1,1,1,8,1,2,2
1302,1,70,3,6400,2,2,1,2,1,2,1
1294,1,73,3,14000,1,2,1,1,1,2,1
290,2,73,3,26000,1,1,2,1,1,2,2
1594,1,75,3,5000,2,1,1,1,1,2,1
558,1,83,3,4600,1,2,1,1,1,2,1
1949,1,31,4,24000,1,1,1,4,1,2,2
902,1,34,4,8000,2,1,1,4,1,2,1
1554,1,35,4,6000,2,1,1,1,1,2,2
1372,1,36,4,40000,2,1,1,1,1,2,1
1936,1,38,4,20000,1,2,2,8,1,2,2
1537,2,44,4,16000,1,2,1,6,1,2,1
1103,1,48,4,40000,1,2,1,1,1,2,1
1013,1,49,4,6400,2,2,2,6,1,2,2
999,1,49,4,17000,1,2,1,3,1,2,1
1426,2,54,4,16000,2,2,1,1,1,2,1
1359,2,59,4,5300,1,1,1,8,1,2,2
523,2,62,4,20000,1,1,1,1,1,2,1
908,1,62,4,25000,2,1,2,4,1,2,2
578,1,70,4,4800,2,2,1,4,1,2,2
351,1,38,2,12000,2,2,2,1,0,1,1
758,2,72,1,14000,2,1,1,4,3,1,1
1682,1,26,2,32000,2,1,1,1,3,1,1
1591,2,42,2,5000,1,1,1,4,3,1,2
593,2,33,3,8000,2,2,1,6,3,1,2
15,1,25,0,24000,1,2,1,6,2,1,2
77,2,26,0,5000,2,2,2,1,2,1,1
19,2,37,0,8000,2,1,1,1,2,1,2
103,1,44,0,32000,1,2,2,2,2,1,1
1696,1,56,0,8000,1,1,1,4,2,1,1
288,2,64,0,6000,2,1,1,6,2,1,1
1012,2,66,0,12000,1,2,2,4,2,1,2
986,2,70,0,7200,1,2,1,2,2,1,1
1826,2,70,0,14000,1,2,1,5,2,1,2
864,2,75,0,10000,2,2,1,8,2,1,2
181,2,24,1,10000,2,2,2,4,2,1,1
1636,2,27,1,15000,1,2,2,1,2,1,2
1816,2,28,1,5400,2,1,1,7,2,1,1
1734,1,28,1,32000,1,1,2,4,2,1,2
1236,1,33,1,6000,2,2,1,6,2,1,1
1724,2,33,1,23200,1,2,1,1,2,1,2
1033,2,35,1,48000,1,2,1,1,2,1,2
457,1,36,1,24000,1,2,1,4,2,1,1
1978,1,38,1,6800,1,2,2,2,2,1,2
472,1,40,1,7200,1,2,1,4,2,1,2
1181,2,40,1,36000,1,2,1,4,2,1,1
448,1,40,1,48000,1,2,1,6,2,1,2
1292,1,46,1,22400,2,2,1,6,2,1,1
1917,1,50,1,14000,2,1,1,2,2,1,1
189,1,50,1,20000,1,2,1,1,2,1,2
1049,2,50,1,20000,2,2,1,3,2,1,2
799,1,51,1,12000,1,1,2,4,2,1,1
1395,1,52,1,6000,1,1,1,1,2,1,1
1953,1,52,1,20000,2,2,1,1,2,1,1
1329,2,52,1,32000,2,1,1,6,2,1,1
1300,2,53,1,40000,1,2,1,1,2,1,1
1960,2,54,1,18000,1,2,1,6,2,1,2
1567,1,55,1,24000,2,2,1,6,2,1,2
1553,1,56,1,10000,1,2,1,1,2,1,1
1045,2,59,1,40000,2,1,1,1,2,1,1
1459,2,64,1,56000,1,2,2,3,2,1,1
1652,2,65,1,11400,1,2,2,6,2,1,1
193,1,66,1,4700,2,1,1,6,2,1,2
310,1,67,1,6400,1,2,1,4,2,1,2
213,2,67,1,32000,1,2,2,4,2,1,1
1187,1,69,1,36000,1,2,2,1,2,1,1
1152,2,70,1,12000,2,1,2,6,2,1,2
571,1,71,1,9600,1,2,2,8,2,1,1
707,1,72,1,19800,1,1,1,8,2,1,2
692,2,80,1,7200,1,2,2,7,2,1,1
1456,2,81,1,5000,2,1,1,2,2,1,1
2063,1,26,2,12000,1,1,1,1,2,1,1
842,1,29,2,48000,1,1,1,6,2,1,1
1668,1,30,2,36000,2,1,1,1,2,1,2
560,1,34,2,7000,1,2,1,6,2,1,1
1069,2,35,2,13000,1,2,1,4,2,1,2
1710,2,35,2,15000,2,1,1,1,2,1,2
590,2,36,2,48000,1,2,2,1,2,1,2
967,2,37,2,10600,1,2,1,1,2,1,1
1764,2,38,2,7000,2,1,1,2,2,1,2
1020,2,40,2,8000,1,1,1,3,2,1,2
622,1,42,2,8000,2,2,1,2,2,1,1
1463,2,44,2,20000,1,1,1,6,2,1,2
1944,1,45,2,6000,1,2,1,6,2,1,1
1105,1,45,2,10400,1,1,1,1,2,1,2
1542,1,49,2,9600,1,1,2,1,2,1,2
1016,1,49,2,50000,1,1,1,1,2,1,1
1572,1,52,2,16000,1,1,2,1,2,1,1
362,1,55,2,4800,2,2,2,1,2,1,1
1620,1,55,2,8000,1,1,1,8,2,1,1
709,2,70,2,6800,1,1,1,8,2,1,1
196,1,71,2,6800,1,1,1,4,2,1,1
912,1,71,2,20000,1,2,1,4,2,1,1
892,2,33,3,8000,2,1,2,1,2,1,1
1044,1,35,3,6400,1,2,1,6,2,1,1
1414,1,38,3,7200,1,1,1,1,2,1,2
760,2,50,3,15200,1,1,1,1,2,1,2
582,1,68,3,28000,1,2,1,4,2,1,1
12,2,23,0,10400,2,2,1,7,1,1,2
43,2,56,0,52000,1,2,1,3,1,1,1
3,2,22,0,6000,1,1,1,1,1,1,2
59,1,56,0,8000,2,2,1,2,1,1,2
64,2,39,0,40000,1,2,1,1,1,1,2
66,2,22,0,8000,2,1,1,6,1,1,1
10,1,23,0,8000,2,2,1,8,1,1,1
76,2,25,0,40000,1,1,1,4,1,1,2
598,1,26,0,48000,1,2,1,6,1,1,2
25,2,34,0,10000,1,2,1,4,1,1,1
2,2,35,0,12000,1,2,1,4,1,1,1
16,2,38,0,32000,1,2,1,1,1,1,2
35,2,42,0,8000,2,2,2,1,1,1,1
54,2,42,0,11000,2,2,1,4,1,1,1
1690,1,45,0,6000,2,2,1,4,1,1,2
255,1,46,0,48000,1,2,1,4,1,1,1
126,2,49,0,30000,1,2,1,1,1,1,1
81,2,49,0,32000,1,2,1,2,1,1,2
62,2,50,0,25000,2,1,1,6,1,1,1
95,2,56,0,9600,1,2,1,4,1,1,2
727,2,57,0,7200,1,2,1,1,1,1,2
818,2,58,0,60000,2,2,2,1,1,1,1
79,2,63,0,5000,1,2,2,4,1,1,2
1941,1,64,0,7000,1,1,1,6,1,1,2
1299,1,65,0,26000,1,1,1,1,1,1,1
57,2,67,0,27000,1,1,2,8,1,1,2
1621,2,69,0,12000,2,2,1,1,1,1,2
1821,1,71,0,10000,1,1,1,4,1,1,2
116,2,71,0,24000,2,1,1,2,1,1,1
984,2,78,0,24000,1,1,1,8,1,1,1
705,1,80,0,40000,2,2,2,1,1,1,1
1277,2,83,0,5500,1,2,2,4,1,1,2
1934,2,87,0,20000,2,1,1,8,1,1,2
376,2,88,0,22400,1,1,1,8,1,1,2
1444,1,23,1,8000,1,2,1,6,1,1,1
1800,1,17,1,4600,2,1,1,6,1,1,1
780,1,21,1,8000,2,2,1,4,1,1,1
935,1,21,1,9000,1,2,1,6,1,1,2
804,2,23,1,17200,2,1,1,4,1,1,2
1927,1,24,1,6000,2,2,1,4,1,1,1
1369,1,24,1,8000,2,2,1,1,1,1,1
1667,2,24,1,10000,2,1,1,1,1,1,1
1907,1,24,1,60000,1,2,1,1,1,1,1
827,2,25,1,9000,1,1,1,3,1,1,1
364,2,25,1,48000,1,2,2,1,1,1,1
1363,2,27,1,8000,2,2,1,6,1,1,1
1859,2,27,1,34000,1,1,1,4,1,1,1
1964,2,27,1,48000,2,1,1,1,1,1,2
1091,1,27,1,52000,1,2,1,4,1,1,1
1362,1,28,1,32000,1,2,1,4,1,1,2
332,1,30,1,6800,1,2,1,1,1,1,2
2033,1,30,1,16000,1,2,1,6,1,1,2
1657,1,30,1,24000,2,1,1,4,1,1,1
1526,1,31,1,8000,2,2,1,1,1,1,2
1867,1,32,1,8000,2,1,1,4,1,1,1
2024,1,32,1,8000,1,1,1,8,1,1,1
563,2,32,1,20000,2,2,1,4,1,1,1
509,1,33,1,12000,1,1,1,6,1,1,1
945,1,33,1,60000,2,2,1,6,1,1,2
1733,1,34,1,12000,1,2,1,1,1,1,1
2011,1,35,1,20000,1,2,1,1,1,1,1
845,1,35,1,30000,1,1,2,4,1,1,2
1803,2,35,1,48000,1,1,1,4,1,1,2
270,1,36,1,4800,1,1,1,1,1,1,2
67,1,36,1,7200,2,2,1,1,1,1,2
556,1,36,1,7500,2,2,1,4,1,1,1
512,1,37,1,10000,1,2,1,1,1,1,2
163,1,38,1,15200,1,1,1,1,1,1,2
1817,1,38,1,16000,1,1,1,8,1,1,1
1389,1,39,1,5600,1,1,1,1,1,1,1
811,2,39,1,16000,1,1,1,4,1,1,2
992,1,39,1,26800,1,2,1,4,1,1,2
1092,2,40,1,8000,2,2,2,8,1,1,1
1863,1,40,1,9000,1,2,2,3,1,1,1
391,2,41,1,6800,1,2,1,8,1,1,1
581,1,41,1,10400,1,1,1,4,1,1,1
1057,2,41,1,10800,1,2,1,1,1,1,1
1422,2,42,1,36000,1,1,2,1,1,1,1
1793,1,43,1,7200,1,2,1,4,1,1,1
654,1,43,1,8000,2,2,2,3,1,1,2
638,1,43,1,22696,1,2,2,6,1,1,1
287,1,44,1,6400,1,2,1,1,1,1,1
1244,2,44,1,20000,1,1,1,1,1,1,2
411,2,45,1,8400,1,1,1,4,1,1,2
1357,1,45,1,15200,1,2,1,2,1,1,1
974,1,45,1,24000,1,1,2,4,1,1,2
304,1,46,1,10800,1,2,1,6,1,1,2
1314,2,46,1,12000,2,2,2,6,1,1,2
1774,2,46,1,60000,2,1,1,4,1,1,1
2053,2,47,1,8000,2,1,1,8,1,1,2
1512,1,47,1,60000,1,2,1,8,1,1,2
1876,1,48,1,7200,1,2,1,4,1,1,2
1931,1,48,1,8000,1,1,1,6,1,1,1
826,2,48,1,12800,1,2,1,1,1,1,1
297,1,49,1,7200,1,2,1,5,1,1,1
517,2,49,1,8000,2,2,1,8,1,1,2
988,1,49,1,12000,2,2,1,6,1,1,2
900,2,49,1,48000,1,2,1,4,1,1,2
1217,2,50,1,4800,2,2,1,6,1,1,1
609,1,50,1,20000,1,2,1,1,1,1,2
1677,1,50,1,26000,2,1,1,6,1,1,1
635,2,50,1,32000,1,2,1,2,1,1,1
1731,1,50,1,55000,1,2,1,4,1,1,2
500,1,51,1,12000,2,2,1,2,1,1,2
625,1,51,1,12000,1,1,1,1,1,1,2
743,2,51,1,12000,2,1,1,6,1,1,2
329,1,52,1,5000,2,1,1,4,1,1,1
1455,1,52,1,6000,1,2,1,6,1,1,2
314,2,52,1,9200,2,1,1,3,1,1,1
706,2,52,1,10000,1,1,1,4,1,1,1
1411,1,52,1,10000,1,2,1,4,1,1,2
161,1,52,1,14000,1,1,2,1,1,1,2
